path,area,language,loc,subsystem,review_owner,review_status,risk,findings
app/__init__.py,backend,py,5,__init__.py,,pending,,
app/adapters/base.py,backend,py,52,adapters,,pending,,
app/adapters/gov/gov_data_adapter.py,backend,py,293,adapters/gov,,pending,,
app/agent_pi_bridge.py,backend,py,2679,agent_pi_bridge.py,,pending,,
app/api/__init__.py,backend,py,3,api,,pending,,
app/api/routes/__init__.py,backend,py,8,api/routes,,pending,,
app/api/routes/analysis_graph.py,backend,py,20,api/routes,,pending,,
app/api/routes/auth.py,backend,py,338,api/routes,,pending,,
app/api/routes/chat.py,backend,py,2123,api/routes,,pending,,
app/api/routes/chat_resume.py,backend,py,161,api/routes,,pending,,
app/api/routes/config.py,backend,py,323,api/routes,,pending,,
app/api/routes/data_fabric.py,backend,py,934,api/routes,,pending,,
app/api/routes/explorer.py,backend,py,111,api/routes,,pending,,
app/api/routes/extensions_marketplace.py,backend,py,171,api/routes,,pending,,
app/api/routes/geocompute.py,backend,py,826,api/routes,,pending,,
app/api/routes/health.py,backend,py,364,api/routes,,pending,,
app/api/routes/jobs.py,backend,py,336,api/routes,,pending,,
app/api/routes/knowledge.py,backend,py,148,api/routes,,pending,,
app/api/routes/lakehouse.py,backend,py,731,api/routes,,pending,,
app/api/routes/layer.py,backend,py,665,api/routes,,pending,,
app/api/routes/local_data.py,backend,py,73,api/routes,,pending,,
app/api/routes/map.py,backend,py,520,api/routes,,pending,,
app/api/routes/mapspec_mutations.py,backend,py,436,api/routes,,pending,,
app/api/routes/metrics.py,backend,py,34,api/routes,,pending,,
app/api/routes/pi_tools.py,backend,py,92,api/routes,,pending,,
app/api/routes/project.py,backend,py,1853,api/routes,,pending,,
app/api/routes/raster.py,backend,py,93,api/routes,,pending,,
app/api/routes/report.py,backend,py,268,api/routes,,pending,,
app/api/routes/static.py,backend,py,102,api/routes,,pending,,
app/api/routes/task.py,backend,py,262,api/routes,,pending,,
app/api/routes/templates.py,backend,py,396,api/routes,,pending,,
app/api/routes/upload.py,backend,py,694,api/routes,,pending,,
app/api/routes/workflow_resume.py,backend,py,81,api/routes,,pending,,
app/api/routes/workflow_runtime.py,backend,py,292,api/routes,,pending,,
app/api/routes/ws.py,backend,py,155,api/routes,,pending,,
app/api/routes/ws_collab.py,backend,py,473,api/routes,,pending,,
app/core/__init__.py,backend,py,7,core,,pending,,
app/core/auth.py,backend,py,542,core,,pending,,
app/core/auth_metrics.py,backend,py,35,core,,pending,,
app/core/base_layers.py,backend,py,106,core,,pending,,
